@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string

@data

Teams,1,10,weka.classifiers.lazy.KStar,'-B 20 -M a',332458330800479083,20161104.1115,81,9,8,1,0,88.888889,11.111111,0,0.769231,0.353523,0.383227,71.566947,77.122694,8.919732,6.008458,2.911274,0.991081,0.667606,0.323475,2.920068,0.324452,294.509591,1,5,0.25,1,0.75,3,0,0,0.833333,1,0.909091,0.790569,0.95,0.966667,0.888889,0.138889,0.861111,0.111111,0.907407,0.888889,0.886003,0.790569,0.95,0.959259,0.883117,0.888889,0,0,0,0,0,0,11812,8783,3239,100,100,?
Teams,2,1,weka.classifiers.lazy.KStar,'-B 20 -M a',332458330800479083,20161104.1115,81,9,4,5,0,44.444444,55.555556,0,-0.097561,0.506438,0.568349,102.522746,114.377555,8.919732,12.225068,-3.305336,0.991081,1.358341,-0.36726,-0.356692,-0.039632,-35.974901,0.4,2,0.5,2,0.5,2,0.6,3,0.5,0.4,0.444444,-0.1,0.5,0.659286,0.444444,0.544444,0.455556,0.555556,0.455556,0.444444,0.444444,-0.1,0.5,0.636111,0.444444,0.444444,0,0,0,0,0,0,11734,8783,3239,88.888889,88.888889,?
Teams,2,2,weka.classifiers.lazy.KStar,'-B 20 -M a',332458330800479083,20161104.1115,81,9,7,2,0,77.777778,22.222222,0,0.571429,0.327411,0.368108,66.28083,74.080017,8.919732,5.624195,3.295536,0.991081,0.624911,0.366171,3.353085,0.372565,338.182463,0.6,3,0,0,1,4,0.4,2,1,0.6,0.75,0.632456,1,1,0.777778,0.177778,0.822222,0.222222,0.851852,0.777778,0.772222,0.632456,1,1,0.775,0.777778,0,0,0,0,0,0,11773,8783,3239,100,100,?
Teams,2,3,weka.classifiers.lazy.KStar,'-B 20 -M a',332458330800479083,20161104.1115,81,9,7,2,0,77.777778,22.222222,0,0.55,0.335243,0.382546,67.866177,76.985553,8.919732,5.925978,2.993753,0.991081,0.658442,0.332639,3.218861,0.357651,324.645002,0.8,4,0.25,1,0.75,3,0.2,1,0.8,0.8,0.8,0.55,0.85,0.925,0.777778,0.227778,0.772222,0.222222,0.777778,0.777778,0.777778,0.55,0.85,0.871296,0.775,0.777778,0,0,0,0,0,0,11890,8783,3239,100,100,?
Teams,2,4,weka.classifiers.lazy.KStar,'-B 20 -M a',332458330800479083,20161104.1115,81,9,6,3,0,66.666667,33.333333,0,0.341463,0.408482,0.476183,82.692686,95.829543,8.919732,8.706924,0.212808,0.991081,0.967436,0.023645,1.760089,0.195565,177.51749,0.6,3,0.25,1,0.75,3,0.4,2,0.75,0.6,0.666667,0.35,0.7,0.821111,0.666667,0.316667,0.683333,0.333333,0.683333,0.666667,0.666667,0.35,0.7,0.732628,0.666667,0.666667,0,0,0,0,0,0,11734,8783,3239,100,100,?
Teams,2,5,weka.classifiers.lazy.KStar,'-B 20 -M a',332458330800479083,20161104.1115,81,9,6,3,0,66.666667,33.333333,0,0.307692,0.421085,0.478245,85.243993,96.24451,8.919732,8.644356,0.275376,0.991081,0.960484,0.030597,1.464934,0.16277,147.74896,0.8,4,0.5,2,0.5,2,0.2,1,0.666667,0.8,0.727273,0.316228,0.7,0.844444,0.666667,0.366667,0.633333,0.333333,0.666667,0.666667,0.658009,0.316228,0.7,0.739506,0.649351,0.666667,0,0.016,0,0,0,0,11851,8783,3239,100,100,?
Teams,2,6,weka.classifiers.lazy.KStar,'-B 20 -M a',332458330800479083,20161104.1115,81,9,8,1,0,88.888889,11.111111,0,0.780488,0.361967,0.402317,73.276313,80.964343,8.919732,6.659493,2.260239,0.991081,0.739944,0.251138,2.897347,0.321927,292.218004,0.8,4,0,0,1,4,0.2,1,1,0.8,0.888889,0.8,0.8,0.911111,0.888889,0.088889,0.911111,0.111111,0.911111,0.888889,0.888889,0.8,0.8,0.808025,0.888889,0.888889,0,0,0,0,0,0,11968,8783,3239,100,100,?
Teams,2,7,weka.classifiers.lazy.KStar,'-B 20 -M a',332458330800479083,20161104.1115,81,9,9,0,0,100,0,0,1,0.173776,0.19065,35.179,38.367495,8.919732,2.538724,6.381008,0.991081,0.28208,0.709001,6.381008,0.709001,643.56998,1,5,0,0,1,4,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,11890,8783,3239,100,100,?
Teams,2,8,weka.classifiers.lazy.KStar,'-B 20 -M a',332458330800479083,20161104.1115,81,9,8,1,0,88.888889,11.111111,0,0.780488,0.234969,0.271059,47.566962,54.549329,8.919732,3.707216,5.212516,0.991081,0.411913,0.579168,5.196234,0.577359,524.077071,0.8,4,0,0,1,4,0.2,1,1,0.8,0.888889,0.8,1,1,0.888889,0.088889,0.911111,0.111111,0.911111,0.888889,0.888889,0.8,1,1,0.888889,0.888889,0,0,0,0,0,0,11968,8783,3239,100,100,?
Teams,2,9,weka.classifiers.lazy.KStar,'-B 20 -M a',332458330800479083,20161104.1115,81,9,7,2,0,77.777778,22.222222,0,0.55,0.317126,0.380098,64.198709,76.49293,8.919732,5.656844,3.262887,0.991081,0.628538,0.362543,3.438006,0.382001,346.747378,0.8,4,0.25,1,0.75,3,0.2,1,0.8,0.8,0.8,0.55,0.95,0.966667,0.777778,0.227778,0.772222,0.222222,0.777778,0.777778,0.777778,0.55,0.95,0.959259,0.775,0.777778,0,0,0,0,0,0,11656,8783,3239,100,100,?
